"","date","cumulative.second.dose"
"1","2021-06-09",28857102
"2","2021-06-08",28540844
"3","2021-06-07",28227362
"4","2021-06-06",27921294
"5","2021-06-05",27661353
"6","2021-06-04",27187975
"7","2021-06-03",26799944
"8","2021-06-02",26422303
"9","2021-06-01",26073284
"10","2021-05-31",25734719
"11","2021-05-30",25539173
"12","2021-05-29",25332851
"13","2021-05-28",24914003
"14","2021-05-27",24478052
"15","2021-05-26",24043956
"16","2021-05-25",23616498
"17","2021-05-24",23228511
"18","2021-05-23",22895556
"19","2021-05-22",22643417
"20","2021-05-21",22086466
"21","2021-05-20",21659783
"22","2021-05-19",21239471
"23","2021-05-18",20870453
"24","2021-05-17",20546452
"25","2021-05-16",20287403
"26","2021-05-15",20103658
"27","2021-05-14",19712412
"28","2021-05-13",19319010
"29","2021-05-12",18890969
"30","2021-05-11",18438532
"31","2021-05-10",18088385
"32","2021-05-09",17856550
"33","2021-05-08",17669379
"34","2021-05-07",17230542
"35","2021-05-06",16764720
"36","2021-05-05",16291719
"37","2021-05-04",15887493
"38","2021-05-03",15630007
"39","2021-05-02",15502508
"40","2021-05-01",15329617
"41","2021-04-30",14957313
"42","2021-04-29",14535528
"43","2021-04-28",14043961
"44","2021-04-27",13581076
"45","2021-04-26",13201811
"46","2021-04-25",12897123
"47","2021-04-24",12636322
"48","2021-04-23",12088686
"49","2021-04-22",11623671
"50","2021-04-21",11192601
"51","2021-04-20",10775817
"52","2021-04-19",10425790
"53","2021-04-18",10152039
"54","2021-04-17",9930846
"55","2021-04-16",9431211
"56","2021-04-15",8931547
"57","2021-04-14",8513864
"58","2021-04-13",8170081
"59","2021-04-12",7857396
"60","2021-04-11",7656205
"61","2021-04-10",7466540
"62","2021-04-09",6991310
"63","2021-04-08",6541174
"64","2021-04-07",6091905
"65","2021-04-06",5683509
"66","2021-04-05",5496716
"67","2021-04-04",5432126
"68","2021-04-03",5384418
"69","2021-04-02",5205505
"70","2021-04-01",4958874
"71","2021-03-31",4513458
"72","2021-03-30",4125884
"73","2021-03-29",3848202
"74","2021-03-28",3679972
"75","2021-03-27",3532378
"76","2021-03-26",3293517
"77","2021-03-25",3009863
"78","2021-03-24",2775481
"79","2021-03-23",2532839
"80","2021-03-22",2363684
"81","2021-03-21",2281384
"82","2021-03-20",2228772
"83","2021-03-19",2136795
"84","2021-03-18",2011070
"85","2021-03-17",1879054
"86","2021-03-16",1759445
"87","2021-03-15",1663646
"88","2021-03-14",1610280
"89","2021-03-13",1584909
"90","2021-03-12",1532754
"91","2021-03-11",1445078
"92","2021-03-10",1351515
"93","2021-03-09",1254353
"94","2021-03-08",1181431
"95","2021-03-07",1142643
"96","2021-03-06",1122402
"97","2021-03-05",1090840
"98","2021-03-04",1034068
"99","2021-03-03",963862
"100","2021-03-02",895412
"101","2021-03-01",844098
"102","2021-02-28",815816
"103","2021-02-27",796132
"104","2021-02-26",768810
"105","2021-02-25",736037
"106","2021-02-24",700718
"107","2021-02-23",669105
"108","2021-02-22",642788
"109","2021-02-21",624325
"110","2021-02-20",615148
"111","2021-02-19",604885
"112","2021-02-18",589591
"113","2021-02-17",573724
"114","2021-02-16",558577
"115","2021-02-15",546165
"116","2021-02-14",539630
"117","2021-02-13",537715
"118","2021-02-12",534869
"119","2021-02-11",530094
"120","2021-02-10",524447
"121","2021-02-09",519553
"122","2021-02-08",516392
"123","2021-02-07",512581
"124","2021-02-06",511719
"125","2021-02-05",510057
"126","2021-02-04",505993
"127","2021-02-03",501957
"128","2021-02-02",498962
"129","2021-02-01",496796
"130","2021-01-31",494209
"131","2021-01-30",491053
"132","2021-01-29",480432
"133","2021-01-28",478254
"134","2021-01-27",476485
"135","2021-01-26",474156
"136","2021-01-25",472446
"137","2021-01-24",470478
"138","2021-01-23",469660
"139","2021-01-22",468617
"140","2021-01-21",466796
"141","2021-01-20",464036
"142","2021-01-19",460625
"143","2021-01-18",456866
"144","2021-01-17",452301
"145","2021-01-16",450062
"146","2021-01-15",447442
"147","2021-01-14",443234
"148","2021-01-13",437977
"149","2021-01-12",428232
"150","2021-01-11",412167
"151","2021-01-10",391399
