,date,under30,v30to59,over60
1,08/12/2020,375,2790,2095
2,09/12/2020,1180,7850,5760
3,10/12/2020,2234,13736,10601
4,11/12/2020,3311,20030,15647
5,12/12/2020,4328,25762,19425
6,13/12/2020,4955,29084,21585
7,14/12/2020,5969,34920,26877
8,15/12/2020,7577,45076,75027
9,16/12/2020,9670,57093,158491
10,17/12/2020,11923,71863,238515
11,18/12/2020,14267,86853,298803
12,19/12/2020,16287,99435,374978
13,20/12/2020,18716,116125,435455
14,21/12/2020,21971,136925,475607
15,22/12/2020,25103,156343,540214
16,23/12/2020,29041,179104,594350
17,24/12/2020,30847,189997,609195
18,25/12/2020,30881,190139,609277
19,26/12/2020,31154,191353,609531
20,27/12/2020,31754,194783,610391
21,28/12/2020,32928,200676,612334
22,29/12/2020,36383,218667,637557
23,30/12/2020,42638,253653,706336
24,31/12/2020,48473,286068,758207
25,01/01/2021,50184,295730,771609
26,02/01/2021,52551,307810,787196
27,03/01/2021,54375,317146,792390
28,04/01/2021,58198,334881,798494
29,05/01/2021,64851,368418,816658
30,06/01/2021,73759,413212,852349
31,07/01/2021,85716,474090,982713
32,08/01/2021,99302,541411,1151940
33,09/01/2021,110532,597881,1297841
34,10/01/2021,118527,634558,1362368
35,11/01/2021,130140,686296,1411561
36,12/01/2021,144200,749820,1509529
37,13/01/2021,160125,820511,1675900
38,14/01/2021,177319,897378,1869904
39,15/01/2021,197046,983863,2097863
40,16/01/2021,213229,1053027,2302942
41,17/01/2021,223962,1100037,2394716
42,18/01/2021,238988,1160257,2470015
43,19/01/2021,255549,1229073,2681043
44,20/01/2021,274439,1305573,2903971
45,21/01/2021,293931,1387068,3161695
46,22/01/2021,315517,1477917,3520643
47,23/01/2021,333329,1555842,3886311
48,24/01/2021,343267,1599551,4022086
49,25/01/2021,356068,1652735,4145644
50,26/01/2021,370649,1714957,4295494
51,27/01/2021,386252,1780193,4449613
52,28/01/2021,402222,1850764,4698962
53,29/01/2021,419626,1932745,5074941
54,30/01/2021,434542,2004491,5449567
55,31/01/2021,444682,2054218,5668310
56,01/02/2021,455138,2103226,5870639
57,02/02/2021,466717,2161091,6097269
58,03/02/2021,480022,2230587,6377147
59,04/02/2021,493899,2307333,6676367
60,05/02/2021,508471,2389340,6979427
61,06/02/2021,523819,2484361,7341045
62,07/02/2021,531129,2528533,7513287
63,08/02/2021,540096,2578632,7689567
64,09/02/2021,551087,2641695,7920163
65,10/02/2021,563149,2708945,8173748
66,11/02/2021,576469,2786377,8472416
67,12/02/2021,591700,2878737,8793887
68,13/02/2021,608291,2973555,9118332
69,14/02/2021,616050,3023015,9244565
70,15/02/2021,625989,3077671,9380733
71,16/02/2021,640271,3178300,9573206
72,17/02/2021,660655,3339465,9808443
73,18/02/2021,681830,3505977,10014743
74,19/02/2021,701343,3652773,10165379
75,20/02/2021,721552,3803138,10303457
76,21/02/2021,729838,3860066,10348845
77,22/02/2021,740124,3930997,10412757
78,23/02/2021,760078,4087135,10518043
79,24/02/2021,786866,4307184,10670560
80,25/02/2021,818208,4547059,10836426
81,26/02/2021,850649,4792254,11006459
82,27/02/2021,880853,5003879,11140670
83,28/02/2021,892328,5081542,11208168
84,01/03/2021,902701,5148984,11276410
85,02/03/2021,913857,5227729,11358338
86,03/03/2021,930111,5339481,11458597
87,04/03/2021,953469,5504877,11590576
88,05/03/2021,983972,5716954,11734554
89,06/03/2021,1015212,5934048,11875836
90,07/03/2021,1025074,6001319,11939092
91,08/03/2021,1035429,6077024,12020159
92,09/03/2021,1046614,6168194,12094296
93,10/03/2021,1060435,6283973,12167735
94,11/03/2021,1070105,6365900,12212305
95,12/03/2021,1094225,6569572,12296456
96,13/03/2021,1128811,6898248,12404227
97,14/03/2021,1143381,7056033,12456659
98,15/03/2021,1161564,7297912,12516422
99,16/03/2021,1184076,7593893,12570362
100,17/03/2021,1207389,7913474,12616724
101,18/03/2021,1233240,8300238,12661889
102,19/03/2021,1261643,8762708,12712163
103,20/03/2021,1298791,9365058,12768596
104,21/03/2021,1315985,9620104,12790582
105,22/03/2021,1333081,9847994,12810648
106,23/03/2021,1351343,10071410,12829983
107,24/03/2021,1372812,10298637,12849558
108,25/03/2021,1396405,10535722,12870275
109,26/03/2021,1423849,10806229,12890945
110,27/03/2021,1460527,11158318,12914897
111,28/03/2021,1480498,11337170,12925453
112,29/03/2021,1499356,11481088,12936068
113,30/03/2021,1519412,11618263,12947057
114,31/03/2021,1543452,11761434,12958186
115,01/04/2021,1559738,11854684,12965710
116,02/04/2021,1569159,11908363,12969354
117,03/04/2021,1579493,11967378,12973758
118,04/04/2021,1583397,11987697,12975256
119,05/04/2021,1585782,12000889,12976267
120,06/04/2021,1592399,12039596,12979773
121,07/04/2021,1599709,12081190,12984475
122,08/04/2021,1604704,12122045,12989328
123,09/04/2021,1608874,12171058,12994671
124,10/04/2021,1613777,12234665,12999464
125,11/04/2021,1616109,12264532,13001522
126,12/04/2021,1617882,12282836,13003656
127,13/04/2021,1619615,12313414,13006151
128,14/04/2021,1622460,12385196,13009012
129,15/04/2021,1625201,12472392,13011918
130,16/04/2021,1629317,12566610,13014898
131,17/04/2021,1633786,12673377,13017707
132,18/04/2021,1636201,12739183,13018863
133,19/04/2021,1637896,12817217,13020554
134,20/04/2021,1640209,12894726,13022767
135,21/04/2021,1642930,12981296,13025339
136,22/04/2021,1646810,13076691,13027842
137,23/04/2021,1650937,13177127,13030522
138,24/04/2021,1655160,13295268,13033133
139,25/04/2021,1657398,13353108,13034268
140,26/04/2021,1659812,13410704,13035852
141,27/04/2021,1662696,13488996,13037780
142,28/04/2021,1666655,13583877,13039958
